id,query,response,responded_at,user_id
480,when i can get my certificate of participation for paper presentation,"congratulations on your interest in yugam! 
     for "" #yug-e-116 yugam paper presentation "" event, the last date for abstract submission is 10.03.2024. 
     if your abstract is selected, you will receive an email with instructions on how to proceed with the online presentation. 
     after the online presentation, the selected teams will be invited to present their work at the offline event. 
     the certificate of participation will be provided after the event. 
     keep in touch with yugam for more updates!


please provide your response in a polite and respectful tone, and avoid using any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content.",2024-03-20 11:52:06.401 +0530,2897
512,how to get certificate after attend the event,you will receive a certificate of participation. please check with the event organizers for the details on how to obtain it. 😊,2024-03-20 16:08:10.755 +0530,5356
513,how to download certificate,"please follow these steps:

1. attend the workshop on ""beyond the label"" on march 15th, 2024.
2. participate in the hands-on experiment session and complete the assessment.
3. collect your certificate from the fssai officers during the question and answer session.

remember, this workshop is a great opportunity to learn about food safety and authenticity. don't miss it! 😊

would you like to know more about yugam? 🤔",2024-03-20 16:09:30.951 +0530,5307
695,participation certificate will be provided or not,you will definitely receive a participation certificate after completing the event. it's a great way to acknowledge your participation and engagement throughout the event. keep up the good work! 🎉,2024-03-21 08:37:36.916 +0530,11165
710,where can i download e certificate for paper presentation,hi darshan! 😊 yugam paper presentation event certificate can be downloaded from the official yugam website after the event completion. please check the event page for the download link. good luck with your presentation! 👍,2024-03-21 10:18:17.466 +0530,5611
750,hou to get certificate for completed workshop,"great to know that you are interested in attending workshops at yugam! 🎉
     to get a certificate for completing a workshop, you can simply attend the workshop and participate in all the sessions. after the workshop, you will receive an email with a link to download your certificate. 📧
     don't miss out on this amazing opportunity to learn and grow! 📚
     wishing you a fantastic experience at yugam! 😊


please let me know if you have any other questions or if there's anything else i can help you with! 😊",2024-03-21 15:35:50.942 +0530,8284
759,how to download certificate,"great to know that you are interested in attending the workshop ""beyond the label"" at yugam! 🎉
     to download the certificate, please follow these steps:
    1. attend the workshop and complete all the sessions.
    2. collect your certificate from the designated area.
    3. download and save the certificate on your device for future reference.
     that's it! 😊


please let me know if you have any other questions or need further assistance.",2024-03-21 16:56:23.309 +0530,11240
764,can i download participation certificate online after completion of competition,"yes, you can download the participation certificate online after the completion of the competition. please check the yugam website for the certificate download link.",2024-03-21 18:22:20.287 +0530,4267
767,where to download certificate,great to know that you are interested in attending the workshop! you can download the certificate from the yugam website after the workshop. please check the yugam website for more details.,2024-03-21 19:34:11.346 +0530,3631
769,in which i can download certificate,and you can download certificates for the ones you attend! 🎉 which ones are you interested in? 🤔,2024-03-21 19:35:14.042 +0530,3631
770,i have still not received participation certificate,"i don't have access to your personal information or yugam's database, so i can't provide you with your participation certificate. however, i can suggest some ways to check if you have received it or not.

1. check your email: sometimes, yugam sends participation certificates via email. check your inbox and spam folder to see if you have received one.
2. log in to your yugam account: if you have created an account on yugam, you can log in and check your certificate status.
3. contact yugam support: if you are unable to find your certificate, you can reach out to yugam's support team for assistance.

remember, it's important to keep your personal information and login credentials safe and secure. if you have any concerns, feel free to ask! 😊",2024-03-21 19:45:44.229 +0530,4715
776,how and where  to download certificate,"great to know that you are interested in attending the workshop ""beyond the label"" at yugam! 🎉
     you can download your certificate from the yugam website after completing the workshop. 📱
     just visit the website, log in to your account, and look for the certificate download option. 📁
     don't forget to save a copy of your certificate for your records. 📚
     have a great time at yugam! 😊",2024-03-21 20:20:39.836 +0530,10308
845,we have participated in line follower robot competition yesterday but we didn't receive the certificate,"i apologize for any inconvenience caused. unfortunately, i don't have access to the certificate distribution details. however, you can reach out to the event organizers directly to inquire about your certificate. they will be able to assist you with the next steps. good luck!",2024-03-22 16:13:05.798 +0530,3602
889,i need my certificate,😊 hi risheekesh! 🎉 yugam24 is a great platform to explore your interests and expand your knowledge! 🤔 did you know that there are 156+ events and 63+ workshops in yugam? 🤯 you can attend the best top 4 events or workshops according to your interest and behaviour with respect to your query! 🎉 let me know if you need any help in finding the right events or workshops for you! 😊,2024-03-22 20:20:39.876 +0530,10923
890,i need my certificate,😊 hi risheekesh! 🎉 yugam24 is a great platform to explore your interests and expand your knowledge! 🤔 did you know that there are 156+ events and 63+ workshops in yugam? 🤯 you can attend the best top 4 events or workshops according to your interest and behaviour with respect to your query! 🎉 let me know if you need any help in finding the right events or workshops for you! 😊,2024-03-22 20:20:54.154 +0530,10923
902,how do i get to certificate download page,"i'm happy to help you with that! the certificate download page for yugam can be accessed by logging into your yugam account and navigating to the ""certificates"" section. if you have any trouble finding it, feel free to ask and i'll be happy to assist you further! 😊",2024-03-22 22:13:51.848 +0530,7785
