id,query,response,responded_at,user_id
61,i already registered for a workshop,great! 😃 you've already registered for a workshop! 🎉 that's awesome! 👍 can i help you with anything else? 🤔,2024-03-19 07:00:59.714 +0530,6422
64,do you conduct any gaming events,"yes, we conduct various gaming events in yugam. you can check out the events section for more details.",2024-03-19 09:19:27.665 +0530,3550
65,do u conduct gaming events,"yes, we conduct gaming events! we have a variety of events for gamers, including tournaments, workshops, and more. check out our website for more information and to register for upcoming events.",2024-03-19 09:19:44.026 +0530,3550
66,gaming events are not mentioned in event section,"sanjaykumar. yes, you are correct. gaming events are not mentioned in the event section. however, there are many other exciting events and workshops happening at yugam that you might be interested in. for example, the "" #yug-e-80 escape room "" event is a great opportunity for you to showcase your leadership and problem-solving skills. or, if you're more interested in sports, the "" #yug-e-129 fifa solo "" event is a great way to test your skills in a virtual gaming environment. and, if you're looking for something more creative, the "" #yug-e-24 scrabble championship "" event is a great opportunity to showcase your vocabulary and wordplay skills. i hope you find something that interests you at yugam!",2024-03-19 09:24:27.452 +0530,3550
67,do you conduct bgmi tournament,"yes, we conduct bgmi tournaments! 🎮🏆 we have two exciting events lined up for you - #yug-e-123 bgmi squad and #yug-e-124 bgmi solo. join us for an epic battle royale experience! 🔥🏆",2024-03-19 09:28:19.839 +0530,3550
69,when can i register for bgmi tournaments,"and you can register for the "" #yug-e-123 bgmi squad "" and "" #yug-e-124 bgmi solo "" events now! 🎉 these events are happening on 2024-03-17 04:30:00+00:00 and 2024-03-17 04:30:00+00:00 respectively. 🕰️ don't miss out on the excitement! 😃",2024-03-19 09:32:53.067 +0530,3550
70,i had paid my amount 310 in website it is successful but in mail i got a message as not successful,"😊 i'm so glad you're excited about yugam! 🎉 it's completely normal to see a ""not successful"" message in your email, especially if you've already paid the amount through the website. 🤔 could you please check your spam or junk mail folder just in case? 😊 if you still can't find the confirmation email, feel free to reach out to us, and we'll be happy to help you with the registration process! 😊",2024-03-19 09:34:19.779 +0530,3662
71,i need details for enigma event,and you can register at https://yugam.in/e/enigma. 🎉 good luck! 😃,2024-03-19 10:11:14.126 +0530,3812
72,i want to know about enigma event,hi janani! 😊 enigma is an exciting event at yugam! 🤔 it's a tech hunt event where you can solve complex puzzles and unravel mysteries with fellow enthusiasts! 🔍 it's a great opportunity to test your coding skills and critical thinking abilities! 💻 would you like to attend? 🤔,2024-03-19 10:11:21.742 +0530,3812
73,"good morning, i have entered the wrong information while login can you help me to change it","you can easily change it by clicking on the ""forgot password"" link on the login page and following the instructions. 🔑 if you need any further assistance, feel free to ask! 😊",2024-03-19 10:20:46.442 +0530,9724
74,good morning sir,good morning vishal! 😊 yugam24 is just around the corner! 🎉 there are 156+ events and 63+ workshops lined up for you to explore and learn from! 🤩 which ones catch your eye? 🤔,2024-03-19 10:28:15.806 +0530,9013
75,good morning sir,good morning vishal! 😊 yugam24 is just around the corner! 🎉 there are 156+ events and 63+ workshops lined up for you to explore and learn from! 🤩 which ones catch your eye? 🤔,2024-03-19 10:28:39.348 +0530,9013
77,how to change gender in form,"i'm sorry, but i cannot assist you with changing your gender in the form. the yugam organizers have not provided any information on how to modify the form. it is essential to follow the instructions provided by the organizers to ensure that your registration is successful.

if you have any other questions or concerns, feel free to ask!",2024-03-19 10:33:14.043 +0530,9724
78,sir i didn't receive any mail or whatsapp message regarding the details though i paid the amount 300 . please check it sir,"i apologize for any confusion, vishal. i'm not aware of any emails or whatsapp messages regarding the details of yugam. however, i can suggest that you check your spam folder or contact the organizers directly to confirm the details. it's important to stay informed and up-to-date on any important events like yugam. additionally, i recommend checking the yugam website or social media accounts for the latest updates and information.",2024-03-19 10:34:44.714 +0530,9013
79,is it necessary to register a team for coding premier league or can we participate individually,"👋 you can participate in "" #yug-e-103 coding premier league "" event both individually and as a team. it's completely up to you! if you prefer to team up with friends or classmates, you can register a team. however, if you'd rather showcase your skills solo, you can participate individually as well. either way, you'll have a blast coding your way to victory! 🚀 what do you think? 🤔",2024-03-19 10:50:16.422 +0530,4859
81,can you show me the event list to register,"grow, and connect with like-minded individuals. happy learning! 😊",2024-03-19 11:04:42.397 +0530,5555
270,can i get refund,"i'm sorry, but refunds are not possible for yugam events. please ensure you attend the event on the designated date and time, as per the schedule provided. if you have any questions or concerns, feel free to ask!",2024-03-19 19:18:25.921 +0530,3649
82,i have entered the wrong gender,"don't worry, you can always correct it before the event starts! 🎉 just make sure to double-check your details before submitting your registration form! 😊",2024-03-19 11:06:21.579 +0530,9724
83,how to change gender in form,"i'm sorry, but i cannot assist you with changing your gender in the form. the yugam organizers have not provided any information on how to modify the form. it is essential to follow the instructions provided by the organizers to ensure that your registration is successful.

if you have any other questions or concerns, feel free to ask!",2024-03-19 11:07:20.512 +0530,9724
85,can we register on the spot for technical event?,"including technical competitions, cultural showcases, and workshops. while some events require registration in advance, there are a few events where you can register on the spot. however, it's always best to check with the event organizers or visit the yugam website for the most up-to-date information. good luck! 😊",2024-03-19 11:27:02.486 +0530,6436
90,is it necessary to register a team for coding premier league or can we participate individually,"👋 you can participate in "" #yug-e-103 coding premier league "" event both individually and as a team. it's completely up to you! if you prefer to team up with friends or classmates, you can register a team. however, if you'd rather showcase your skills solo, you can participate individually as well. either way, you'll have a blast coding your way to victory! 🚀 what do you think? 🤔",2024-03-19 12:00:35.741 +0530,4859
97,may i get the details about alumni pass and it's offer,"but you can check the yugam website for more information. there are many exciting events and workshops happening during yugam, and i'm sure you'll find something that interests you. why not check out the schedule and see what catches your eye?",2024-03-19 13:09:16.827 +0530,334
98,50% discount on alumini pass,"i don't have access to real-time information about yugam's discounts or offers. however, i can suggest some events and workshops that might interest you! 🎉 there are 156+ events and 63+ workshops in yugam, covering a diverse range of topics. 🤔 if you're interested, i can recommend the top 4 events or workshops that align with your interests. 📝 let me know! 😊",2024-03-19 13:09:58.519 +0530,334
99,i want to know about the general events happening in the date 21st march,but you can check the yugam website or social media pages for the latest updates and information. they usually post the event schedules and details well in advance. you can also reach out to the yugam team directly for more information.,2024-03-19 13:17:04.156 +0530,6011
100,what is nova ctf,"and the one with the most points wins! 🏆 it's a great opportunity to expand your knowledge, refine your skills, and network with like-minded individuals. 🤝 so, are you ready to conquer the challenges and emerge victorious? 💪",2024-03-19 13:23:46.297 +0530,9976
101,what is velpandy,"velpandy is a workshop in yugam which is about ""design thinking and innovation"" 🚀",2024-03-19 13:24:52.441 +0530,9976
102,what is kavin kumar,"he is going to deliver a talk on ""the future of technology: trends, opportunities, and challenges"" on 2024-03-16 at 10:00 am in auditorium 1. his talk will be engaging, informative, and thought-provoking. don't miss it! 😊",2024-03-19 13:25:25.586 +0530,9976
103,how to send team invitation,who knows? you might even win some amazing prizes! 🎁 want to know more? let me know! 😊,2024-03-19 13:31:38.932 +0530,9982
104,how to send team invitation in digitrix,"kindly follow these steps: 1. log in to your yugam account. 2. click on the ""invite team"" button on the event page. 3. enter the team member's name and email address. 4. click on the ""send invitation"" button. 😊 hope this helps! let me know if you have any other questions.",2024-03-19 13:32:39.681 +0530,9982
107,how to register for hackathon,"simply visit our website and click on the ""register"" button. you can choose from a variety of events, including hackathons, workshops, and conferences. don't miss this opportunity to network with industry professionals and showcase your talents! 🚀",2024-03-19 13:46:19.655 +0530,9549
109,market minds,"""market minds""! 💡 it's a great opportunity to test your marketing skills and win amazing prizes! 🏆 you should definitely participate and showcase your creativity! 🎨 plus, you'll get to connect with like-minded peers and industry experts! 🤝 good luck! 💪",2024-03-19 13:51:52.243 +0530,1288
110,give me details of the event,"cultural showcases, literary events, pro shows, hackathons, conclaves, presentations, socially responsible activities, and many more! 🎉 you can explore the events and workshops by checking the yugam website or mobile app. have a great day! 😊",2024-03-19 13:52:14.181 +0530,1288
111,how many rounds are there in the event,there are 4 rounds in the event.,2024-03-19 13:53:27.543 +0530,1288
112,come again?,"including technical competitions, cultural showcases, literary events, pro shows, hackathons, conclaves, presentations, and socially responsible activities. 🎉 there are 156+ events and 63+ workshops in yugam, and i highly recommend checking out the top 4 events/workshops that align with your interests! 🤔 can i help you find them? 😊",2024-03-19 13:54:48.439 +0530,1288
113,who is the co orddinator for market minds,"i apologize, but i don't have access to the specific information you are seeking. the coordinator for the ""market minds"" event is not mentioned in the provided context. could you please provide more context or clarify your question? i'll do my best to assist you.",2024-03-19 13:55:09.923 +0530,1288
114,can you give me any contact details,"i don't have access to personal contact details of speakers or organizers. however, you can reach out to them through their official social media handles or websites. you can also check the yugam website for their contact details. additionally, you can connect with other attendees through the yugam app or website, and they may be able to provide you with the contact details you're looking for.",2024-03-19 13:55:52.306 +0530,1288
117,on the apot registration is available,and all of them are available for registration! 🎉 you can check out the events and workshops that interest you the most and register for them. 😊 good luck with your registrations!,2024-03-19 14:00:04.779 +0530,3779
118,on the apot registration is available,and all of them are available for registration! 🎉 you can check out the events and workshops that interest you the most and register for them. 😊 good luck with your registrations!,2024-03-19 14:00:22.686 +0530,3779
376,i have paid 300 but it was not added,"arjun. can you please provide me with more details about the event you attended, like the name of the event and the date you attended? this will help me look into the matter and provide you with the appropriate assistance.",2024-03-19 22:52:12.817 +0530,9580
127,is there any chance to re registor in code 2duo,"😊 code2duo is a fantastic opportunity for you to showcase your coding abilities and compete against other talented individuals! 💻 although the registration deadline has passed, you can still participate in the event by registering on the day of the event. 📅 please ensure you have all the necessary documents and information ready for the event. good luck! 🤞",2024-03-19 14:11:25.181 +0530,10030
141,i want to participate in one workshop,"like "" #yug-w-46 orbital craft - student cubesat training "" and "" #yug-w-65 nutrizen "" 🚀💪 they're happening from march 14th to 23rd, so you still have time to register! 📅 what do you say? want to join us for an unforgettable experience? 😃 let me know if you need any more details! 😊",2024-03-19 14:41:29.643 +0530,10048
142,workshop,"embrace vibrant living, and harness the power of yoga for both physical and mental wellbeing. 🧘‍♀️

3. #yug-w-61 telling stories with puppetry 🎭 share and listen to personal narratives, fostering connections through the art of storytelling. whether you're a seasoned storyteller or a novice, this workshop welcomes all who have a story to tell. 📚

4. #yug-w-51 recycling & upcycling 🌎 discover the art of recycling and up-cycling at our engaging workshop! learn creative techniques to transform everyday items into eco-friendly masterpieces. join us as we explore sustainable practices, reduce waste, and unleash your creativity while making a positive impact on the environment. 💚

which one of these workshops catches your attention? let me know if you need more information! 😊",2024-03-19 14:42:01.924 +0530,10048
143,ai langchain,"isn't it? 🤖 it's a workshop that can help you learn about the latest advancements in ai and its applications in various fields. 🌟 you'll get to explore the transformative world of transformers, the neural network architecture propelling advancements in nlp, and much more! 💡 plus, you'll get to learn from an experienced speaker, mr.r.suriya prakash, who's a data analyst - ml at hsbc, bangalore. 👨‍💻 want to know more? check out the workshop details here: https://yugam.in/w/ai-langchain 📢 hope to see you there! 😃",2024-03-19 14:42:24.261 +0530,10048
