id,query,response,responded_at,user_id
81,can you show me the event list to register,"grow, and connect with like-minded individuals. happy learning! 😊",2024-03-19 11:04:42.397 +0530,5555
190,list out the events,"#yug-e-26 கோடம்பாக்கம், #yug-e-114 வினாடி வினா, and #yug-e-113 தனித்தமிழ் பேசுவோம். these events are highly recommended as they are 
     well-organized, well-attended, and offer a great opportunity to network and learn new skills. don't miss out on these 
     events!",2024-03-19 17:12:28.991 +0530,1682
191,list out technical events,"i'm just an ai assistant, i don't have access to real-time information about upcoming events. however, i can suggest some popular technical events happening in yugam this year. check out the yugam website for more details! 😊",2024-03-19 17:12:43.812 +0530,1682
194,list out any the technical events,"based on your interests and skills. these events are sure to provide you with an exciting experience and help you learn something new.

1. #yug-e-39 techsynergy - this event is all about showcasing your technical skills and creativity through circuit design, electronic troubleshooting, energy harvesting, and simulation software. it's a great opportunity to meet like-minded people and learn from industry experts.

2. #yug-e-114 வினாடி வினா - this event is perfect for those interested in coding and solving complex puzzles. you'll have a blast unraveling mysteries with fellow enthusiasts and learning new skills.

3. #yug-e-104 enigma - this event is all about diving into the world of coding and discovering how solving complex puzzles can be a piece of cake. you'll experience the thrill of unraveling mysteries while having a blast with fellow enthusiasts.

4. #yug-e-234 cyberwarriors - this event is designed for those interested in cybersecurity and networking. you'll learn about the latest trends and technologies in the field and have the opportunity to showcase your skills through hackathons and other activities.

i hope you find these recommendations helpful and interesting!",2024-03-19 17:17:10.334 +0530,1682
339,i want to know about some good eents for my ineresr,"i would recommend checking out "" #yug-w-18 design of bldc motor "" workshop on 2024-03-21 03:30:00+00:00. it's a great opportunity to learn about bldc motor design and its applications. 🚀 plus, it's only 500! 💰 you should also check out "" #yug-w-69 empowering intelligence: the rise of transformers in deep learning "" workshop on 2024-03-14 04:00:00+00:00. it's a fantastic event for those interested in artificial intelligence, machine learning, and deep learning. 🤖 you could also participate in "" #yug-e-124 bgmi solo "" event on 2024-03-17 04:30:00+00:00, which is a great opportunity for gamers and sports enthusiasts alike! 🏆🎮 so, which one catches your eye? 🤔 let me know if you need more recommendations! 😊",2024-03-19 22:24:22.444 +0530,10398
364,i want some information about code2duo event in yugam,"showcasing your coding skills and problem-solving abilities. round 1 is an aptitude round on the kahoot platform, and round 2 is a blindfold challenge where you'll tackle coding problems without visual aid, relying solely on communication and teamwork. it's a great opportunity to challenge yourselves, learn from each other, and emerge victorious! 🏆 are you ready to accept the challenge? 😃",2024-03-19 22:45:20.858 +0530,6176
393,what are all the list of proshows available,"#yug-p-1 masala coffee band, and #yug-p-2 sean roldan concert are waiting for you! 🎵 which one would you like to attend? 🤔",2024-03-19 23:13:56.578 +0530,10400
394,all the three,and i'm sure you'll find something that suits your interests. 🤔 can i recommend a few top picks? 🤔 #yug-w-3 chatflow mastery and #yug-w-75 gamified web 3 look like they'd be right up your alley! 💻📊 #yug-w-18 design of bldc motor is also worth checking out if you're interested in mechanical or electrical engineering. 🔧🔩 let me know if you need any more recommendations or have any questions! 😊,2024-03-19 23:14:23.887 +0530,10400
456,all the general events on 23 rd march,"i'm not sure about the events on 23rd march, but i can suggest you check the yugam website or social media pages for the latest updates and information. there are many exciting events lined up for the last day of yugam, and you won't want to miss out on them! 😊",2024-03-20 08:06:56.098 +0530,3586
549,i want to know about all the technical events happening,"hi ananda! 👋 there are 156+ events and 63+ workshops in yugam! 🤩 you can explore the technical events by checking out the ""technical events"" category on the yugam website. 📱 you can also check out the top 4 recommended events for you based on your interests! 🎉 let me know if you need any more help! 😊",2024-03-20 19:06:17.361 +0530,6011
