id,query,response,responded_at,user_id
70,i had paid my amount 310 in website it is successful but in mail i got a message as not successful,"😊 i'm so glad you're excited about yugam! 🎉 it's completely normal to see a ""not successful"" message in your email, especially if you've already paid the amount through the website. 🤔 could you please check your spam or junk mail folder just in case? 😊 if you still can't find the confirmation email, feel free to reach out to us, and we'll be happy to help you with the registration process! 😊",2024-03-19 09:34:19.779 +0530,3662
78,sir i didn't receive any mail or whatsapp message regarding the details though i paid the amount 300 . please check it sir,"i apologize for any confusion, vishal. i'm not aware of any emails or whatsapp messages regarding the details of yugam. however, i can suggest that you check your spam folder or contact the organizers directly to confirm the details. it's important to stay informed and up-to-date on any important events like yugam. additionally, i recommend checking the yugam website or social media accounts for the latest updates and information.",2024-03-19 10:34:44.714 +0530,9013
149,how to pay registration fee,"you can pay the registration fee through online or offline mode. for online payment, you can use credit/debit cards or net banking. for offline payment, you can visit the registration desk near the main gate and pay in cash or through credit/debit cards. please ensure to carry a valid id proof for verification purposes.",2024-03-19 15:34:37.385 +0530,10093
214,how to pay fee,"you can pay the registration fee through online or offline mode. for online payment, you can use credit/debit cards or net banking. for offline payment, you can visit the registration desk near the main gate and pay through cash or card. please check the yugam website or contact the organizers for more details.",2024-03-19 18:08:06.930 +0530,7683
202,can we pay the general event fee on spot,"yes, you can pay the general event fee on spot during the event. please check the event details for the payment options available. 
     have a great day!",2024-03-19 17:49:43.567 +0530,7994
209,can pay amt at the time of event,"yes, you can pay the amount at the time of event. yugam provides various payment options for the convenience of the participants. you can choose the payment method that suits you the best.
     please check the event page or contact the organizer for more details on payment options.
     have a great day!",2024-03-19 18:00:19.418 +0530,4037
212,for what events we have to pay fee,"for the events you are interested in, you will have to pay a fee. the fee details for each event are mentioned in the event description. please check the event details to know the fee amount.
     you can also check the event schedule and timing to plan your participation accordingly.
     have a great day!",2024-03-19 18:05:45.259 +0530,7683
222,how to get refund the registrtion amount,"i don't have access to the refund policy of yugam. however, i suggest you contact the organizers directly for any queries or concerns regarding refunds. they will be able to provide you with the most accurate and up-to-date information.",2024-03-19 18:15:47.218 +0530,9736
307,can you refund the money,i cannot provide refunds or handle financial transactions. please contact the event organizers directly for any inquiries related to refunds or cancellations. they will be able to assist you better.,2024-03-19 20:09:32.121 +0530,3455
302,can you refund the registration fee,"i apologize, but refunds are not possible for yugam registrations. please ensure you attend the event and enjoy the various activities.",2024-03-19 20:06:15.672 +0530,8095
313,i have done my payment of rs.810 for ctf event of 2members but i failed to form a team.but now while forming a team i receive message to form team and pay again .what can i do,"dikshana. unfortunately, i can't assist you in this situation as it's against yugam's policy to refund or transfer payments made for events. however, i can suggest you explore other options to participate in the event, such as forming a new team or participating individually. you can also reach out to yugam's support team for further assistance.",2024-03-19 20:33:05.298 +0530,4145
324,will me pay for food seperately?,"and i'm sure you'll have a blast! 🎉 as for food, it's included in the registration fee, so you don't need to pay separately. 🍔🍟🥤 enjoy your stay! 😊",2024-03-19 21:04:54.422 +0530,10320
342,i'm not able to attend the event on 22 nd.. can you please refund the amount,"we cannot provide refunds for unattended events. however, you can still participate in the event by watching the recordings or by attending future events. please let me know if there's anything else i can help you with.",2024-03-19 22:26:32.335 +0530,9972
345,what is the highest price amout event,"the highest price amount event in yugam is "" #yug-e-80 escape room "" event with winning price amount of 1500.",2024-03-19 22:27:57.145 +0530,10398
348,can you please refund the amount of registration,"i apologize, but refunds are not possible for yugam registrations. please ensure you have read and understood the terms and conditions before registering. if you have any questions or concerns, please feel free to reach out to us.",2024-03-19 22:29:58.870 +0530,9972
349,the event with price   rupees  5000,"i'm not sure about the event with the given price, but i can suggest some top 4 events from yugam that might interest you! 😊


please let me know if you want me to suggest any specific events or workshops based on your preferences! 😊",2024-03-19 22:30:03.955 +0530,10398
471,can i get refund amount,"i'm just an ai, i don't have access to personal information or financial data, so i cannot provide refund amounts. please contact the event organizers or check their website for more information on refund policies.",2024-03-20 10:14:59.662 +0530,8202
485,do i have to pay general free if i want to only attend sean roldan concert,"😊

you don't need to pay any general fee to attend sean roldan's concert. it's completely free! 🎉 enjoy the musical evening with your friends and family! 😊

hope you have a great time at yugam! 😊",2024-03-20 12:46:03.343 +0530,10665
