id,query,response,responded_at,user_id,how,what,when,where,why,who,do
61,I already registered for a workshop ,Great! 😃 You've already registered for a workshop! 🎉 That's awesome! 👍 Can I help you with anything else? 🤔,2024-03-19 07:00:59.714 +0530,6422,0,0,0,0,0,0,0
64,do you conduct any gaming events,"Yes, we conduct various gaming events in Yugam. You can check out the events section for more details.",2024-03-19 09:19:27.665 +0530,3550,0,0,0,0,0,0,1
65,do u conduct gaming events,"Yes, we conduct gaming events! We have a variety of events for gamers, including tournaments, workshops, and more. Check out our website for more information and to register for upcoming events.",2024-03-19 09:19:44.026 +0530,3550,0,0,0,0,0,0,1
66,gaming events are not mentioned in event section,"I apologize for the confusion, Sanjaykumar. Yes, you are correct. Gaming events are not mentioned in the event section. However, there are many other exciting events and workshops happening at Yugam that you might be interested in. For example, the "" #YUG-E-80 ESCAPE ROOM "" event is a great opportunity for you to showcase your leadership and problem-solving skills. Or, if you're more interested in sports, the "" #YUG-E-129 FIFA SOLO "" event is a great way to test your skills in a virtual gaming environment. And, if you're looking for something more creative, the "" #YUG-E-24 SCRABBLE CHAMPIONSHIP "" event is a great opportunity to showcase your vocabulary and wordplay skills. I hope you find something that interests you at Yugam!",2024-03-19 09:24:27.452 +0530,3550,0,0,0,0,0,0,0
67,do you conduct bgmi tournament,"Yes, we conduct BGMI tournaments! 🎮🏆 We have two exciting events lined up for you - #YUG-E-123 BGMI SQUAD and #YUG-E-124 BGMI SOLO. Join us for an epic battle royale experience! 🔥🏆",2024-03-19 09:28:19.839 +0530,3550,0,0,0,0,0,0,1
68, ,"Hi Rudhraa! 😊 Yugam is a great platform to explore your interests and skills in technology and automation. There are many exciting events and workshops lined up, including "" #YUG-W-29 AUTOMATION WITH PLC AND HMI INTERFACE "" workshop, which is suitable for students like you. It covers topics like PLC programming, HMI interface, and industrial panel wiring, which are essential for automation. You can register for the workshop using the link provided. 📢

Please let me know if you have any other questions or if there's anything else I can help you with! 😊",2024-03-19 09:30:38.687 +0530,3662,0,0,0,0,0,0,0
69,when can i register for bgmi tournaments,"Hi Sanjaykumar! 😊 Yugam is happening from 2024-03-14 to 2024-03-23, and you can register for the "" #YUG-E-123 BGMI SQUAD "" and "" #YUG-E-124 BGMI SOLO "" events now! 🎉 These events are happening on 2024-03-17 04:30:00+00:00 and 2024-03-17 04:30:00+00:00 respectively. 🕰️ Don't miss out on the excitement! 😃",2024-03-19 09:32:53.067 +0530,3550,0,0,1,0,0,0,0
70,I had paid my amount 310 in website it is successful but in mail I got a message as not successful ,"Hi Rudhraa, 😊 I'm so glad you're excited about Yugam! 🎉 It's completely normal to see a ""Not successful"" message in your email, especially if you've already paid the amount through the website. 🤔 Could you please check your spam or junk mail folder just in case? 😊 If you still can't find the confirmation email, feel free to reach out to us, and we'll be happy to help you with the registration process! 😊",2024-03-19 09:34:19.779 +0530,3662,0,0,0,0,0,0,0
71,I need details for enigma event,"Hi Janani! 😊 Enigma is an exciting event where you can unravel complex puzzles and have fun with fellow enthusiasts! 💡 It's happening on March 21st, and you can register at https://yugam.in/e/enigma. 🎉 Good luck! 😃",2024-03-19 10:11:14.126 +0530,3812,0,0,0,0,0,0,0
72,I want to know about enigma event,Hi Janani! 😊 Enigma is an exciting event at Yugam! 🤔 It's a tech hunt event where you can solve complex puzzles and unravel mysteries with fellow enthusiasts! 🔍 It's a great opportunity to test your coding skills and critical thinking abilities! 💻 Would you like to attend? 🤔,2024-03-19 10:11:21.742 +0530,3812,0,0,0,0,0,0,0
73,"Good morning, I have entered the wrong information while login can you help me to change it ","Good Morning! 😊 I'm so sorry to hear that you entered the wrong information while logging in. 🤦‍♀️ Don't worry, you can easily change it by clicking on the ""Forgot Password"" link on the login page and following the instructions. 🔑 If you need any further assistance, feel free to ask! 😊",2024-03-19 10:20:46.442 +0530,9724,0,0,0,0,0,0,0
74,Good morning sir ,Good morning VISHAL! 😊 Yugam24 is just around the corner! 🎉 There are 156+ events and 63+ workshops lined up for you to explore and learn from! 🤩 Which ones catch your eye? 🤔,2024-03-19 10:28:15.806 +0530,9013,0,0,0,0,0,0,0
75,,Good morning VISHAL! 😊 Yugam24 is just around the corner! 🎉 There are 156+ events and 63+ workshops lined up for you to explore and learn from! 🤩 Which ones catch your eye? 🤔,2024-03-19 10:28:39.348 +0530,9013,0,0,0,0,0,0,0
76,,"Hi Tiruvikraman V! 😊 Yugam is a techno-cultural fest that offers a diverse range of activities, including technical competitions, cultural showcases, literary events, pro shows, hackathons, conclaves, presentations, and socially responsible activities. 🎉 There are 156+ events and 63+ workshops in Yugam, and I recommend checking out the top 4 events and workshops that align with your interests! 🤔 What are your interests? 😃",2024-03-19 10:29:22.736 +0530,8279,0,0,0,0,0,0,0
77,How to change gender in form,"Hi ASWATH,
     I'm sorry, but I cannot assist you with changing your gender in the form. The Yugam organizers have not provided any information on how to modify the form. It is essential to follow the instructions provided by the organizers to ensure that your registration is successful.

If you have any other questions or concerns, feel free to ask!",2024-03-19 10:33:14.043 +0530,9724,1,0,0,0,0,0,0
78,Sir I didn't receive any mail or whatsapp message regarding the details though I paid the amount 300 . Please check it sir,"I apologize for any confusion, VISHAL. I'm not aware of any emails or WhatsApp messages regarding the details of Yugam. However, I can suggest that you check your spam folder or contact the organizers directly to confirm the details. It's important to stay informed and up-to-date on any important events like Yugam. Additionally, I recommend checking the Yugam website or social media accounts for the latest updates and information.",2024-03-19 10:34:44.714 +0530,9013,0,1,0,0,0,0,0
