id,query,response,responded_at,user_id
99,i want to know about the general events happening in the date 21st march,but you can check the yugam website or social media pages for the latest updates and information. they usually post the event schedules and details well in advance. you can also reach out to the yugam team directly for more information.,2024-03-19 13:17:04.156 +0530,6011
150,when is the last date for paying,thank you for reaching out! the last date for paying the registration fee for yugam is on 2024-03-20. please make sure to register and pay the fee on or before this date to avoid any inconvenience.,2024-03-19 15:35:13.981 +0530,10093
151,offline payment last date?,but you can check the yugam website or contact the organizers directly for more information. they will be able to provide you with the most up-to-date information.,2024-03-19 15:35:43.214 +0530,10093
204,sports quiz starting time?,"hi adithi! 👋 the "" #yug-e-37 sports quiz "" event starting time is on 2024-03-21 04:30:00+00:00. 🕰️ you can join us for an exciting and engaging sports quiz with an opportunity to showcase your knowledge of sports. 🏈 we hope to see you there! 😊",2024-03-19 17:50:58.044 +0530,7994
209,can pay amt at the time of event,"yes, you can pay the amount at the time of event. yugam provides various payment options for the convenience of the participants. you can choose the payment method that suits you the best.
     please check the event page or contact the organizer for more details on payment options.
     have a great day!",2024-03-19 18:00:19.418 +0530,4037
211,"i am writing to request a refund for my pass to the upcoming [event name] scheduled for [date of event]. due to unforeseen personal reasons, i will no longer be able to attend.  i understand there may be a refund policy, and i would be grateful if you could consider my request.  please let me know how to proceed with the refund. i can provide any additional information you need.","i apologize, but we cannot provide a refund for your pass to the upcoming [event name]. our policy is strictly no refunds, and we cannot make any exceptions. however, you can transfer your pass to another person or use it for a future event. please let me know if you have any other questions or concerns.",2024-03-19 18:05:32.209 +0530,4548
216,will you pls send the schedule of the events,"i can recommend some of the top events happening at yugam that you might be interested in attending. these include "" #yug-e-30 சகலகலாவல்லவன் "", "" #yug-e-26 கோடம்பாக்கம் "", "" #yug-e-113 தனித்தமிழ் பேசுவோம் "", and "" #yug-e-114 வினாடி வினா "". these events are sure to be exciting and informative, and i highly recommend checking them out. let me know if you have any other questions!",2024-03-19 18:08:40.256 +0530,7683
233,what time sean roldan pro show starts,hi yuvan! 😊 sean roldan pro show starts at 6:30 pm on 23rd march 2024. don't miss it! 🎉 it's going to be an amazing evening of musical ecstasy! 😍,2024-03-19 18:34:40.223 +0530,2423
234,what time sean roldan pro show ends,sean roldan pro show ends at 10:00 pm on 23rd march 2024.,2024-03-19 18:35:53.284 +0530,2423
281,industrial robotics and simulation which date,""" #yug-w-39 industrial robotics and simulation "" workshop happening on 2024-03-21 04:30:00+00:00. don't miss this opportunity to revolutionize your industrial operations! 🚀",2024-03-19 19:27:51.134 +0530,10228
315,how long does it take to complete entry procedure  in college on the day of event,entry procedure in college on the day of event takes around 30 minutes to 1 hour approximately.,2024-03-19 20:59:41.724 +0530,4145
462,short film festival event date and event location?!,"coimbatore

hope this helps! 😊

please let me know if you have any other questions.",2024-03-20 08:56:41.325 +0530,7201
463,"how to contact "" one day one minute media!?","i don't have access to personal information like contact details of event organizers. however, you can reach out to the event organizers through their official website or social media handles. they will be able to provide you with the necessary details or direct you to the right person to contact. good luck! 😊",2024-03-20 09:01:45.072 +0530,7201
470,what will be the timing of these shows,"i'm glad you're interested in the events happening at yugam! the timing of the shows will be announced soon, so please keep an eye on our website or social media platforms for updates. we're excited to bring you an unforgettable experience! 😊",2024-03-20 09:32:20.373 +0530,3043
545,yeah im from vadavalli can i know what is the bus timing from there and timing,"i'm glad to hear that you're interested in yugam! unfortunately, i'm a large language model, i don't have access to real-time bus schedules or timings. however, you can check the official yugam website or social media handles for the latest updates on bus schedules and timings. additionally, you can use public transportation apps like google maps or moovit to plan your trip to yugam. have a great day!",2024-03-20 19:03:08.035 +0530,10873
546,i want to know about the general events happening in the date 21st march,"but you can check the yugam website or social media pages for the latest updates and information.


please let me know if you have any other questions or if there's anything else i can help you with.",2024-03-20 19:04:33.627 +0530,6011
575,workshop start timing,workshop start timing is 9:00 am.,2024-03-20 21:16:11.928 +0530,10228
607,what was the last date to register and pay for workshop,the last date to register and pay for workshop is on 2024-03-18.,2024-03-20 22:19:58.863 +0530,11070
689,date,"yugam is happening from 2024-03-14 to 2024-03-23, 
     you can attend various events and workshops on different topics like artificial intelligence, machine learning, data science, natural language processing, deep learning, transformers, and many more.
     these events and workshops will help you to enhance your skills and knowledge in your field of study.
     you can check the details of the events and workshops on the yugam website or by contacting the yugam team directly.
     hope to see you at yugam!",2024-03-21 07:19:55.059 +0530,11165
697,today general event time,today's event time is not mentioned in the given context. please check the event schedule or contact the event organizers for more information.,2024-03-21 08:55:35.899 +0530,1947
748,share me the schedule of today's yugam,"i don't have access to the detailed schedule of today's events. however, you can check the yugam website or mobile app for the latest updates on the schedule and other information. have a great day! 😊",2024-03-21 14:42:08.071 +0530,6218
806,my friend who is not a school or college student could participate in day events,"😊 glad to know you're interested in yugam! yes, your friend can definitely participate in the day events! yugam is open to everyone, regardless of their educational background. just make sure they register in advance through the link provided, and they'll be good to go! 😊",2024-03-21 23:05:32.908 +0530,10163
840,"me and my team cannot reach kumaraguru college in acutal time because of our native distance. so, can you please refund our amount ?","barath. unfortunately, i cannot provide a refund for the event as it is an in-person event and cannot be transferred to an online platform. however, i can suggest that you and your team can still participate in the event by streaming it online or by watching the recorded videos of the event after it takes place. this way, you can still be a part of the event and enjoy it from the comfort of your own space. additionally, you can also reach out to the event organizers and request them to provide a refund or a credit for the event, which they may consider. i hope this helps!",2024-03-22 14:38:38.832 +0530,11646
841,till what time the programs go on?,the programs will go on till 5:00 pm today.,2024-03-22 15:15:53.349 +0530,11713
844,will be time clash in between codeathon and squad game event,"i apologize, but i'm a large language model, i cannot predict the future, and i cannot confirm whether there will be a time clash between the codeathon and the squad game event. however, i suggest you check the schedule of both events and plan accordingly to avoid any conflicts. additionally, you can reach out to the organizers of both events for any clarification or assistance.",2024-03-22 15:41:24.220 +0530,9389
854,what time is sean roldan’s concert tomorrow?,"but i can tell you that it's going to be an amazing event! 🎉 he's one of the most talented musicians in the industry, and his live performances are always a treat. 😍 i'm sure you'll have a great time! 😊",2024-03-22 18:06:02.440 +0530,2609
855,i have bought the tickets. how can i be on time if you don’t mention the time ???,"just make sure to reach the venue well in advance. 📍 the event starts at 10 am, so try to reach by 9:30 am. 🕰️ it'll give you enough time to get settled and enjoy the event. 😊 have a great time! 🎉",2024-03-22 18:06:46.378 +0530,2609
857,what time is the concert??,"but i know it's going to be a fantastic event! 🎉 sean roldan is an incredible musician, and i can't wait to witness his performance live! 😍 it's going to be a night to remember! 💥 when i have more information, i'll make sure to let you know! 😊",2024-03-22 18:07:59.568 +0530,2609
860,what time is tomorrow’s music concert?,"i'm not sure about the concert time tomorrow, but you can check the yugam schedule for the latest updates.",2024-03-22 18:09:52.724 +0530,2609
862,3rd day events,i'm not sure about the events on the 3rd day of yugam. can you please provide more context or details? i'd be happy to help you find the information you're looking for!,2024-03-22 18:45:37.054 +0530,295
874,hi can i understand the timing for sean roldon pro show,sean roldan pro show timing is 23:30 on 2024-03-23.,2024-03-22 19:11:41.315 +0530,1974
878,can i get the schedule,"starting from march 14th to 23rd. you can check the schedule on our website or app. it's going to be an amazing experience with various events, workshops, and competitions. stay tuned! 😃",2024-03-22 19:13:34.435 +0530,1974
